Shape	Color	Value											
Rectangle	Blue	0											
Rectangle	Blue	1											
Rectangle	Blue	1											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	0											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	0											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	0											
Circle	Pink	1											
Circle	Pink	0											
Circle	Pink	1											
Square	Pink	1											
Square	Pink	1											
Square	Pink	0											
Square	Pink	1											
Square	Pink	0											
Square	Pink	0											
Square	Pink	1											
Square	Pink	0											
Square	Pink	1											
Square	Pink	0											
Square	Pink	1											
Square	Pink	1											
Square	Pink	0											
Square	Pink	1											
Square	Pink	1											
Square	Pink	1											
Square	Pink	0											
Square	Pink	0											
Square	Pink	1											
Square	Pink	1											
Square	Pink	0											
Square	Pink	0											
Square	Pink	1											
Square	Pink	1											
Square	Pink	1											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	2											
Rectangle	Pink	2											
Rectangle	Pink	2											
Rectangle	Pink	2											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	2											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	0											
Rectangle	Pink	0											
Circle	Red	0											
Circle	Red	5											
Circle	Red	2											
Circle	Red	0											
Circle	Red	9											
Circle	Red	3											
Circle	Red	1											
Circle	Red	0											
Circle	Red	8											
Circle	Red	0											
Circle	Red	0											
Circle	Red	0											
Circle	Red	4											
Circle	Red	0											
Circle	Red	5											
Circle	Red	1											
Circle	Red	0											
Circle	Red	0											
Circle	Red	0											
Circle	Red	0											
Circle	Red	3											
Circle	Red	0											
Circle	Red	0											
Circle	Red	5											
Circle	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	6											
Square	Red	0											
Square	Red	0											
Square	Red	6											
Square	Red	3											
Square	Red	0											
Square	Red	0											
Square	Red	4											
Square	Red	0											
Square	Red	4											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	0											
Square	Red	1											
Square	Red	0											
Square	Red	0											
Square	Red	1											
Square	Red	0											
Rectangle	Red	0											
Rectangle	Red	4											
Rectangle	Red	4											
Rectangle	Red	2											
Rectangle	Red	0											
Rectangle	Red	1											
Rectangle	Red	3											
Rectangle	Red	4											
Rectangle	Red	5											
Rectangle	Red	4											
Rectangle	Red	2											
Rectangle	Red	0											
Rectangle	Red	4											
Rectangle	Red	0											
Rectangle	Red	2											
Rectangle	Red	2											
Rectangle	Red	2											
Rectangle	Red	2											
Rectangle	Red	4											
Rectangle	Red	2											
Rectangle	Red	0											
Rectangle	Red	0											
Rectangle	Red	5											
Rectangle	Red	2											
Rectangle	Red	2											
